B T1 B1 | doi= | title=Immunometabolic resistors of aging in long-lived golden spiny mice | authors=

B T22 B2 | sub=Acomys | pred=is | obj=genus of spiny mice
B T22 B3 | sub=Acomys russatus | pred=is | obj=species of spiny mice
B T22 B4 | sub=Acomys dimidiatus | pred=is | obj=species of spiny mice
B T22 B5 | sub=Acomys kempi | pred=is | obj=species of spiny mice
B T22 B6 | sub=Acomys percivali | pred=is | obj=species of spiny mice
B T22 B7 | sub=Acomys subspinosus | pred=is | obj=species of spiny mice
B T22 B8 | sub=Deomyinae | pred=is | obj=subfamily of rodents

B T4 B9 | sub=aging | pred=has | obj=loss of biological resilience | epi=background_claim | src="One of the key manifestations of aging is a loss of biological resilience" | ctx=
B T4 B10 | sub=aging | pred=has | obj=slowdown in cell and tissue repair processes | epi=background_claim | src="including a slowdown in cell and tissue repair processes" | ctx=
B T4 B11 | sub=chronic sterile inflammation | pred=causes | obj=slowdown in cell and tissue repair | epi=background_claim | src="due to chronic sterile inflammation and metabolic stress" | ctx=
B T4 B12 | sub=metabolic stress | pred=causes | obj=slowdown in cell and tissue repair | epi=background_claim | src="due to chronic sterile inflammation and metabolic stress" | ctx=
B T4 B13 | sub=Mus | pred=is | obj=used for aging studies | epi=background_claim | src="the study of the underlying mechanisms of aging has relied on laboratory inbred strains of Mus and Rattus" | ctx=
B T4 B14 | sub=Rattus | pred=is | obj=used for aging studies | epi=background_claim | src="the study of the underlying mechanisms of aging has relied on laboratory inbred strains of Mus and Rattus" | ctx=
B T4 B15 | sub=Mus | pred=does not capture | obj=diversity of physiological adaptive traits in rodents | epi=background_claim | src="These species alone, however, do not capture the diversity of physiological adaptive traits in rodents" | ctx=
B T4 B16 | sub=Rattus | pred=does not capture | obj=diversity of physiological adaptive traits in rodents | epi=background_claim | src="These species alone, however, do not capture the diversity of physiological adaptive traits in rodents" | ctx=
B T4 B17 | sub=rodents | pred=comprise | obj=>40% of all mammalian species | epi=background_claim | src="which comprises >40% of all mammalian species" | ctx=
B T4 B18 | sub=comparative biology approach | pred=has | obj=higher chance of identifying mechanisms that resist senescence | epi=author_interpretation | src="one underlying rationale for the investigation of the aging process using a comparative biology approach is to maximize the chances of identifying mechanisms that resist senescence" | ctx=
B T4 B19 | sub=comparative biology approach | pred=enables | obj=clearance of damage-associated molecular patterns | epi=author_interpretation | src="through the ability to clear the accumulation of damage-associated molecular patterns and promote tissue repair" | ctx=
